Time;U_t;V_t
2.895;-0.08060937145123684;-5.819388831367981
2.9;-0.10907836891827996;-5.556541853205203
2.9050000000000002;-0.1360613146828759;-5.225638205810537
2.91;-0.16122865640765188;-4.831104331277971
2.915;-0.18427493306897103;-4.378139695850533
2.92;-0.2049224732261523;-3.8726485598635536
2.9250000000000003;-0.2229247305579978;-3.3211632710638415
2.93;-0.238069216479878;-2.730760083446237
2.935;-0.2501799966096728;-2.108968537148817
2.94;-0.25911971908547066;-1.4636756301180283
2.945;-0.26479115150396726;-0.8030260234838174
2.95;-0.26713821631138795;-0.13531935680749888
2.955;-0.26614650476769297;0.5310938549904285
2.96;-0.2618432713351946;1.1879164779821716
2.965;-0.25429690690924706;1.8270078852506186
2.97;-0.2436159037566727;2.4404846891828864
2.975;-0.2299473248966644;3.0208178150056435
2.98;-0.2134747992557234;3.5609247205495445
2.985;-0.19441607169413302;4.054255654620761
2.99;-0.17302013680645198;4.494872873796796
2.995;-0.149563997770928;4.877521897609269
3.0;-0.12434909015664619;5.197693927387934
3.005;-0.09769741546863918;5.451678600485653
3.0100000000000002;-0.06994744659713065;5.636607060970216
3.015;-0.041449818933988816;5.750483263236848
3.02;-0.012562923775278937;5.792205435803455
3.025;0.016351596820787517;5.761575740215623
3.0300000000000002;0.04493337012141625;5.659298651398135
3.035;0.0728277777564081;5.486968149163345
3.04;0.09969034747445739;5.247043906385739
3.045;0.12519099997642497;4.942816777862343
